iter	Passed	Remaining
0	1	165
1	3	163
2	4	138
3	5	120
4	5	112
5	6	104
6	7	99
7	8	94
8	9	92
9	11	103
10	12	103
11	13	101
12	14	100
13	15	98
14	17	96
15	18	95
16	19	93
17	20	92
18	25	109
19	29	116
20	30	113
21	31	110
22	31	106
23	32	102
24	33	99
25	35	100
26	36	98
27	40	103
28	41	102
29	43	100
30	44	98
31	44	95
32	45	92
33	46	90
34	47	87
35	49	87
36	49	84
37	50	82
38	51	80
39	54	82
40	57	82
41	57	79
42	58	77
43	59	75
44	60	73
45	60	71
46	61	69
47	62	67
48	63	65
49	63	63
50	64	61
51	65	60
52	65	58
53	66	56
54	69	56
55	70	55
56	71	53
57	73	53
58	76	53
59	77	51
60	78	49
61	78	48
62	79	46
63	80	45
64	80	43
65	81	42
66	84	41
67	85	40
68	86	38
69	87	37
70	87	35
71	88	34
72	89	33
73	90	31
74	90	30
75	91	28
76	92	27
77	92	26
78	93	24
79	94	23
80	94	22
81	95	20
82	96	19
83	97	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	106	9
92	107	8
93	108	6
94	109	5
95	109	4
96	110	3
97	111	2
98	116	1
99	118	0
