iter	Passed	Remaining
0	197	197435
1	198	99071
2	199	66209
3	199	49771
4	200	39907
5	201	33317
6	202	28727
7	204	25309
8	205	22575
9	205	20382
10	206	18569
11	207	17060
12	207	15775
13	208	14679
14	209	13729
15	209	12896
16	210	12160
17	210	11505
18	211	10922
19	212	10397
20	213	9932
21	213	9507
22	214	9119
23	215	8755
24	217	8466
25	217	8163
26	218	7875
27	219	7606
28	219	7363
29	220	7138
30	221	6926
31	222	6722
32	222	6529
33	223	6347
34	223	6175
35	224	6013
36	225	5859
37	225	5714
38	226	5576
39	226	5445
40	227	5324
41	228	5207
42	229	5099
43	229	4993
44	231	4914
45	232	4821
46	233	4727
47	233	4639
48	234	4552
49	235	4467
50	235	4386
51	236	4313
52	237	4239
53	237	4168
54	238	4100
55	239	4033
56	239	3968
57	240	3904
58	241	3845
59	241	3785
60	242	3728
61	242	3676
62	244	3643
63	245	3597
64	246	3550
65	248	3520
66	250	3483
67	251	3446
68	253	3425
69	256	3401
70	258	3381
71	260	3352
72	260	3313
73	261	3275
74	262	3238
75	263	3203
76	264	3171
77	265	3143
78	266	3109
79	267	3077
80	268	3042
81	268	3009
82	269	2973
83	269	2940
84	270	2912
85	271	2889
86	274	2877
87	276	2860
88	276	2834
89	277	2807
90	278	2780
91	279	2754
92	279	2728
93	280	2703
94	281	2680
95	282	2659
96	283	2637
97	284	2615
98	284	2592
99	285	2571
100	286	2549
101	288	2538
102	293	2553
103	294	2535
104	296	2530
105	298	2516
106	300	2504
107	301	2486
108	302	2470
109	303	2452
110	305	2448
111	307	2434
112	309	2428
113	310	2416
114	312	2406
115	313	2390
116	314	2370
117	314	2353
118	315	2337
119	316	2320
120	317	2305
121	317	2288
122	323	2305
123	324	2291
124	325	2276
125	326	2263
126	327	2248
127	327	2234
128	328	2221
129	329	2206
130	330	2191
131	331	2177
132	331	2163
133	332	2149
134	333	2139
135	336	2135
136	337	2128
137	338	2115
138	339	2103
139	340	2092
140	341	2081
141	342	2068
142	343	2057
143	345	2051
144	346	2042
145	347	2033
146	350	2032
147	351	2021
148	352	2011
149	352	2000
150	353	1989
151	354	1980
152	356	1971
153	356	1959
154	357	1948
155	358	1937
156	358	1926
157	360	1919
158	361	1910
159	363	1907
160	364	1899
161	365	1890
162	366	1881
163	367	1873
164	368	1865
165	369	1856
166	370	1846
167	371	1838
168	371	1828
169	372	1821
170	373	1812
171	374	1802
172	375	1793
173	375	1784
174	377	1781
175	379	1776
176	380	1769
177	381	1761
178	382	1754
179	383	1748
180	384	1740
181	385	1732
182	386	1723
183	386	1716
184	387	1708
185	388	1702
186	389	1695
187	393	1697
188	394	1693
189	396	1689
190	398	1688
191	400	1687
192	402	1681
193	403	1674
194	404	1667
195	404	1661
196	407	1662
197	408	1655
198	409	1649
199	410	1643
200	412	1638
201	413	1632
202	414	1626
203	415	1621
204	416	1614
205	416	1607
206	417	1599
207	418	1592
208	419	1585
209	419	1578
210	420	1573
211	422	1570
212	423	1566
213	425	1562
